date,1,2,3,4
2020-04-01,2197,2938,606,312
2020-04-02,2161,3160,924,80
2020-04-03,2051,2777,850,277
2020-04-04,1634,1760,641,85
2020-04-05,867,1303,243,67
2020-04-06,1428,1676,351,116
2020-04-07,1875,2566,482,80
2020-04-08,1788,2694,562,94
2020-04-09,1923,2201,393,139
2020-04-10,1192,1302,490,82
2020-04-11,824,1310,426,146
2020-04-12,533,934,254,74
2020-04-13,580,874,106,23
2020-04-14,938,1164,235,56
2020-04-15,1122,1746,335,31
2020-04-16,1143,1865,233,47
2020-04-17,1133,1376,292,165
2020-04-18,698,931,282,86
2020-04-19,608,664,80,21
2020-04-20,597,896,175,44
2020-04-21,1021,887,222,37
2020-04-22,1164,1079,155,23
2020-04-23,860,919,210,7
2020-04-24,813,837,108,80
2020-04-25,594,495,168,15
2020-04-26,357,256,48,10
2020-04-27,569,415,98,32
2020-04-28,712,579,111,12
2020-04-29,691,623,70,23
2020-04-30,824,436,99,39
2020-05-01,393,306,100,51
2020-05-02,304,255,62,0
2020-05-03,276,131,16,0
2020-05-04,370,299,36,2
2020-05-05,516,420,77,62
2020-05-06,662,454,66,9
2020-05-07,613,491,36,15
2020-05-08,569,245,59,79
2020-05-09,349,223,79,22
2020-05-10,178,125,30,8
2020-05-11,386,213,79,1
2020-05-12,409,369,59,1
2020-05-13,436,393,45,11
2020-05-14,385,358,43,6
2020-05-15,259,297,53,38
2020-05-16,243,126,66,11
2020-05-17,125,99,87,0
2020-05-18,242,262,21,0
2020-05-19,373,289,13,45
2020-05-20,385,279,114,7
2020-05-21,170,206,34,6
2020-05-22,269,207,34,16
2020-05-23,181,83,73,0
2020-05-24,160,55,4,0
2020-05-25,225,136,45,2
2020-05-26,203,379,30,4
2020-05-27,293,278,63,4
2020-05-28,282,186,13,32
2020-05-29,234,130,39,12
2020-05-30,139,161,40,16
2020-05-31,78,84,16,0
2020-06-01,81,52,2,1
2020-06-02,157,119,19,4
2020-06-03,238,217,30,1
2020-06-04,273,214,31,3
2020-06-05,204,152,34,39
2020-06-06,128,81,61,11
2020-06-07,82,70,9,1
2020-06-08,157,104,25,7
2020-06-09,189,210,17,5
2020-06-10,324,108,58,6
2020-06-11,156,100,3,2
2020-06-12,178,94,35,40
2020-06-13,147,75,72,1
2020-06-14,79,81,8,0
2020-06-15,136,104,7,1
2020-06-16,237,222,33,3
2020-06-17,348,387,32,100
2020-06-18,339,192,14,70
2020-06-19,368,174,149,134
2020-06-20,283,124,81,13
2020-06-21,162,61,0,0
2020-06-22,217,213,17,0
2020-06-23,239,243,23,24
2020-06-24,239,199,53,1
2020-06-25,248,297,10,0
2020-06-26,320,119,37,68
2020-06-27,149,108,53,16
2020-06-28,106,76,7,3
2020-06-29,245,122,18,0
2020-06-30,265,151,8,1
2020-07-01,300,138,25,0
2020-07-02,298,143,7,7
2020-07-03,256,87,28,31
2020-07-04,141,88,51,14
2020-07-05,75,63,1,1
2020-07-06,170,125,11,0
2020-07-07,236,134,18,1
2020-07-08,299,131,12,2
2020-07-09,263,140,6,1
2020-07-10,221,112,21,0
2020-07-11,129,81,0,64
2020-07-12,55,0,75,1
2020-07-13,10,303,7,1
2020-07-14,224,199,28,3
2020-07-15,303,208,14,1
2020-07-16,351,171,3,3
2020-07-17,345,50,32,68
2020-07-18,139,159,80,17
2020-07-19,55,98,19,2
2020-07-20,257,124,10,24
2020-07-21,276,177,41,13
2020-07-22,381,259,38,1
2020-07-23,445,209,4,0
2020-07-24,488,138,19,92
2020-07-25,162,232,110,26
2020-07-26,106,81,19,1
2020-07-27,309,168,26,13
2020-07-28,400,279,50,9
2020-07-29,561,303,33,1
2020-07-30,488,318,19,7
2020-07-31,523,181,39,147
2020-08-01,233,197,90,26
2020-08-02,115,164,14,4
2020-08-03,459,232,79,14
2020-08-04,449,399,65,12
2020-08-05,553,395,98,8
2020-08-06,669,398,41,5
2020-08-07,592,227,48,75
2020-08-08,270,223,163,36
2020-08-09,155,131,16,12
2020-08-10,546,432,73,17
2020-08-11,644,456,55,17
2020-08-12,885,486,134,12
2020-08-13,869,488,38,27
2020-08-14,794,281,104,126
2020-08-15,287,254,142,35
2020-08-16,171,273,37,11
2020-08-17,815,616,80,10
2020-08-18,769,625,60,53
2020-08-19,975,617,122,7
2020-08-20,716,790,32,12
2020-08-21,1000,404,128,84
2020-08-22,317,374,126,60
2020-08-23,188,254,93,0
2020-08-24,759,570,0,75
2020-08-25,775,0,660,17
2020-08-26,0,1462,94,11
2020-08-27,798,617,60,14
2020-08-28,735,433,32,117
2020-08-29,262,371,146,42
2020-08-30,181,285,52,8
2020-08-31,630,478,37,21
2020-09-01,660,520,69,41
2020-09-02,697,429,249,17
2020-09-03,247,1143,85,5
2020-09-04,603,600,94,125
