N,N_mse,mean_bias,mean_var,var_bias,var_var,ef,method
10,100,,,,,99.10657289777325,LA
10,100,,,,,99.71672149829745,LA
10,100,,,,,99.72601480508115,LA
10,100,,,,,99.79665419315708,LA
10,100,,,,,99.66929067603964,LA
10,100,,,,,99.49414413968147,LA
10,100,,,,,99.67383151162909,LA
10,100,,,,,98.13173522492272,LA
10,100,,,,,99.75988222838787,LA
10,100,,,,,98.57697121013805,LA
10,100,,,,,98.23009231443608,LA
10,100,,,,,98.09379263941594,LA
10,100,,,,,99.32049135707793,LA
10,100,,,,,99.89775654854668,LA
10,100,,,,,98.75730021759175,LA
10,100,,,,,98.16535079705379,LA
10,100,,,,,99.62483651588012,LA
10,100,,,,,99.09528612464995,LA
10,100,,,,,98.12074716257735,LA
10,100,,,,,98.81873569687664,LA
10,100,,,,,98.3200198595621,LA
10,100,,,,,98.86045781038769,LA
10,100,,,,,99.62101304278143,LA
10,100,,,,,98.64294871857658,LA
10,100,,,,,99.42068850851501,LA
10,100,,,,,98.93741433939731,LA
10,100,,,,,99.26934142061207,LA
10,100,,,,,99.5694848872294,LA
10,100,,,,,99.55059548597069,LA
10,100,,,,,98.25385766875063,LA
10,100,,,,,98.62429582994659,LA
10,100,,,,,99.28100632813575,LA
10,100,,,,,99.72260165488083,LA
10,100,,,,,99.69969235278803,LA
10,100,,,,,98.34829570510828,LA
10,100,,,,,98.25646169836608,LA
10,100,,,,,98.89422476287099,LA
10,100,,,,,99.23466072811478,LA
10,100,,,,,99.62891385589364,LA
10,100,,,,,99.3575882426138,LA
10,100,,,,,99.5445269389274,LA
10,100,,,,,99.17881996538723,LA
10,100,,,,,98.89645338281227,LA
10,100,,,,,99.53308869433431,LA
10,100,,,,,99.21083261888194,LA
10,100,,,,,97.2709556029921,LA
10,100,,,,,99.71454394000932,LA
10,100,,,,,99.30040969731003,LA
10,100,,,,,99.03759140849414,LA
10,100,,,,,99.56132611504786,LA
10,100,,,,,99.67624204575708,LA
10,100,,,,,98.89813137976105,LA
10,100,,,,,99.51474513903946,LA
10,100,,,,,99.56733185468467,LA
10,100,,,,,99.76220957652544,LA
10,100,,,,,99.86906624478365,LA
10,100,,,,,99.07472754137159,LA
10,100,,,,,99.67411976145664,LA
10,100,,,,,99.2428069171263,LA
10,100,,,,,99.53954965882437,LA
10,100,,,,,99.58048837609674,LA
10,100,,,,,99.68801634219047,LA
10,100,,,,,99.09160731784809,LA
10,100,,,,,99.58141570925277,LA
10,100,,,,,99.61089419118724,LA
10,100,,,,,98.04538465733705,LA
10,100,,,,,99.70854287051134,LA
10,100,,,,,99.15024430334093,LA
