N,m,n,method,ef
150000.0,1.0,10,LA,98.24401409524866
150000.0,1.0,10,EIS,99.4232953375462
150000.0,1.0,10,CE,99.41639335554353
75000.0,1.0,20,LA,97.66028160492621
75000.0,1.0,20,EIS,99.33900787285508
75000.0,1.0,20,CE,99.25213246601143
30000.0,1.0,50,LA,92.92057395185623
30000.0,1.0,50,EIS,97.58851434319143
30000.0,1.0,50,CE,96.88573507968384
15000.0,1.0,100,LA,73.47083280569755
15000.0,1.0,100,EIS,90.8622710144359
15000.0,1.0,100,CE,89.72682935310785
3000.0,1.0,500,LA,27.598649811395955
3000.0,1.0,500,EIS,68.722473162877
3000.0,1.0,500,CE,0.06543159667669429
1500.0,1.0,1000,LA,11.799527013707769
1500.0,1.0,1000,EIS,40.988992170917214
1500.0,1.0,1000,CE,nan
150000.0,1.0,10,LA,98.65443980429444
150000.0,1.0,10,EIS,99.53121413349454
150000.0,1.0,10,CE,99.49431467548538
75000.0,1.0,20,LA,98.70911118919103
75000.0,1.0,20,EIS,99.56788624047547
75000.0,1.0,20,CE,99.47311913514977
30000.0,1.0,50,LA,89.3980232127365
30000.0,1.0,50,EIS,96.3578403930792
30000.0,1.0,50,CE,96.0856926442518
15000.0,1.0,100,LA,74.67090195136305
15000.0,1.0,100,EIS,90.73810167545298
15000.0,1.0,100,CE,89.3319471521647
3000.0,1.0,500,LA,23.759190092265158
3000.0,1.0,500,EIS,59.43279356703843
3000.0,1.0,500,CE,nan
1500.0,1.0,1000,LA,6.461827815866469
1500.0,1.0,1000,EIS,35.44306820632946
1500.0,1.0,1000,CE,nan
