n,N_samples,N_iter,log_DET_CEM,log_DET_MEIS,ARE
1,10000,100,-29.599661500271555,-28.372159129966448,0.29302352874503157
1,10000,100,-24.61464597219052,-21.891770002763064,0.06568557281729005
1,10000,100,-26.54317888727331,-24.19792496456872,0.09582286743940238
1,10000,100,-18.391823042380913,-5.201806100560314,1.8691683814401291e-06
1,10000,100,-30.672590896514237,-29.50465280305709,0.31100754910215117
1,10000,100,-29.33676995596997,-27.92166883559306,0.2429010499611049
1,10000,100,-32.690883103149915,-31.711461801716055,0.3755283537026338
1,10000,100,-28.69134192346813,-27.051830395483655,0.1940748192591853
1,10000,100,-22.28826194316956,-15.090330512699932,0.0007481317714464851
1,10000,100,-25.808364228402418,-23.138235688799057,0.06924332422785584
2,10000,100,-36.69622328836151,-37.12567487394767,1.5364147004938702
2,10000,100,-45.064029775304306,-45.31692517884717,1.2877485758514162
2,10000,100,-38.11359419302366,-37.45587773071135,0.518032932591383
2,10000,100,-39.24171516947034,-43.73437042153804,89.35840022965168
2,10000,100,-38.53450560321325,-38.02952911997235,0.6035197680891582
2,10000,100,-43.51246068083358,-43.488205589051894,0.9760366990584175
2,10000,100,-45.104364049618056,-45.274210796744754,1.1851232138647483
2,10000,100,-39.98618862026435,-39.90749430669132,0.9243224340854483
2,10000,100,-43.84753257051736,-44.37142591667992,1.688589130363623
2,10000,100,-46.29428517300143,-46.43433498554059,1.150331098342983
3,10000,100,nan,-51.64493399373605,nan
3,10000,100,-43.78661429807566,-50.169468307365975,591.6137716934811
3,10000,100,-65.94399722460841,-67.03338159572282,2.972443587038016
3,10000,100,-53.19296755076559,-54.9884530219527,6.022397712802792
3,10000,100,-55.40404855816605,-57.74991393037898,10.442305299561957
3,10000,100,-62.122108249916174,-63.86999373061268,5.742447313466807
3,10000,100,-47.24949259214348,-51.107190632073504,47.3562136887793
3,10000,100,-49.52899799193115,-52.41072053112599,17.844985407305685
3,10000,100,-64.19894202487782,-66.18363274134687,7.276796444083551
3,10000,100,-59.84406774259759,-61.592057010434544,5.743043336581908
4,10000,100,-81.7416981356974,-86.07132328077475,75.9158238145544
4,10000,100,-70.51302665573338,-76.0997914979471,266.8708523225818
4,10000,100,-54.13791177597491,-63.21022557715247,8710.755462653817
4,10000,100,-70.68860606230368,-74.90774799948775,67.97513232471903
4,10000,100,-73.44053981175963,-76.4950413113007,21.210609392510584
4,10000,100,-73.05058392252752,-76.81495202001604,43.13643922155805
4,10000,100,nan,-69.0829341078452,nan
4,10000,100,nan,-68.60709791885527,nan
4,10000,100,-63.85388608563501,-68.903106648697,155.90090219563965
4,10000,100,-65.90513711753118,-71.24583041894726,208.6573225705679
5,10000,100,-80.52172658687084,-88.41705130727303,2684.7012122638444
5,10000,100,-74.39466971809408,-85.66454243865324,78423.01489233397
5,10000,100,-81.20062802752105,-89.53419787959433,4161.246101676443
5,10000,100,-59.50864361420038,-77.46933591353442,63129094.02725427
5,10000,100,-85.29464105140394,-90.73174973971277,229.77686556565376
5,10000,100,-92.46874787025672,-97.14508667711516,107.37622693324765
5,10000,100,-81.65364978095049,-87.79268346376337,463.6053645076376
5,10000,100,-63.72360602725513,-79.20667193069572,5299197.242867055
5,10000,100,-62.41896933694097,-78.61167825607015,10774673.7936996
5,10000,100,-99.06886215399926,-102.86054479117489,44.330930426363416
