sigma2,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps2.01,GMM_scale_eps2.1,GMM_scale_eps2.5
0.5,0.625,0.072191,0.3242369,0.7677587,1.3381964,1.1595688,0.5410194
0.55,0.50624996,0.08146229,0.2875886,0.71169794,1.112374,0.85539687,0.3856099
0.59999996,0.40000007,0.09370082,0.25382885,0.65785664,1.0287912,0.63695836,0.25782394
0.65,0.30625004,0.108906664,0.22295755,0.60623485,1.0874478,0.5042518,0.15766037
0.7,0.22500005,0.12707978,0.19497485,0.5568322,1.2883433,0.45727786,0.08511977
0.75,0.15625003,0.14822017,0.16988061,0.5096488,1.6314784,0.49603647,0.04020203
0.79999995,0.10000008,0.17232783,0.14767489,0.46468487,2.1168518,0.62052757,0.022907093
0.85,0.056249954,0.1994029,0.12835762,0.42194003,2.7444665,0.8307516,0.033234995
0.9,0.025000025,0.22944501,0.1119289,0.38141474,3.5143194,1.1267076,0.071185715
0.9499999,0.0062500075,0.26245457,0.098388664,0.34310886,4.4264107,1.5083964,0.13675925
1.0,0.0,0.2984315,0.087736905,0.30702206,5.4807463,1.9758185,0.22995582
1.05,0.006249983,0.33737552,0.07997372,0.27315474,6.677312,2.5289714,0.35077482
1.0999999,0.024999946,0.37928683,0.07509896,0.2415068,8.016125,3.1678593,0.4992169
1.15,0.056249965,0.42416564,0.07311273,0.2120781,9.497177,3.8924797,0.6752824
1.2,0.10000003,0.47201163,0.074015014,0.18486868,11.120467,4.702832,0.8789703
1.25,0.15624999,0.52282494,0.0778058,0.15987867,12.885997,5.5989175,1.110281
1.3,0.22499996,0.57660556,0.084485106,0.13710804,14.793765,6.5807347,1.3692147
1.35,0.30625007,0.63335323,0.09405288,0.11655665,16.843767,7.6482816,1.6557709
1.3999999,0.39999968,0.6930681,0.1065091,0.098224774,19.036001,8.801556,1.9699478
1.45,0.50625014,0.75575083,0.12185398,0.082111984,21.370502,10.040582,2.3117526
1.5,0.6249999,0.82140034,0.14008729,0.06821864,23.84723,11.365328,2.6811774
1.55,0.7562498,0.8900173,0.16120908,0.05654463,26.466192,12.775808,3.0782247
1.5999999,0.89999956,0.9616015,0.18521932,0.047089957,29.227388,14.272016,3.502895
1.65,1.0562499,1.0361531,0.21211813,0.03985461,32.130833,15.853963,3.955188
1.6999999,1.2249998,1.1136717,0.24190529,0.034838602,35.176502,17.521633,4.435101
1.75,1.4062498,1.194158,0.27458116,0.032041896,38.364433,19.27505,4.9426427
1.8,1.5999998,1.2776109,0.3101454,0.03146453,41.69459,21.11419,5.4778037
1.85,1.8062502,1.364032,0.34859842,0.03310651,45.167015,23.039072,6.0405927
1.9,2.0249996,1.45342,0.3899396,0.036967807,48.781635,25.049677,6.6309943
1.95,2.2562504,1.5457754,0.4341696,0.04304847,52.53853,27.146025,7.249031
2.0,2.5,1.6410978,0.4812877,0.0513484,56.43763,29.328085,7.894681
2.05,2.7562497,1.7393876,0.5312947,0.061867733,60.479,31.595901,8.56796
2.1,3.0249994,1.840645,0.58419,0.07460636,64.66259,33.949436,9.268856
2.1499999,3.306249,1.9448686,0.6399736,0.089564234,68.9884,36.388687,9.997375
2.2,3.6000004,2.052061,0.6986464,0.10674168,73.456535,38.913727,10.753526
2.25,3.9062505,2.1622193,0.76020706,0.12613824,78.066826,41.524445,11.537291
2.3,4.2249994,2.2753456,0.8246564,0.14775419,82.8194,44.220913,12.348682
2.3500001,4.5562515,2.3914394,0.89199436,0.17158955,87.71417,47.003124,13.187699
2.4,4.900001,2.5105004,0.96222055,0.19764416,92.75123,49.87105,14.054332
2.4499998,5.2562485,2.6325278,1.035335,0.22591801,97.93047,52.8247,14.948586
2.4999998,5.624998,2.7575233,1.1113383,0.25641114,103.251945,55.864098,15.870466
2.55,6.00625,2.8854861,1.1902306,0.2891241,108.71573,58.989246,16.81998
2.6,6.3999987,3.0164165,1.2720108,0.324056,114.32174,62.20012,17.797102
2.6499999,6.806249,3.1503131,1.3566794,0.36120716,120.069916,65.49669,18.801847
2.6999998,7.2249985,3.287178,1.4442366,0.40057766,125.96042,68.87901,19.834223
2.75,7.65625,3.4270108,1.5346836,0.44216788,131.99318,72.347115,20.894226
2.8,8.099998,3.5698094,1.6280177,0.48597708,138.16805,75.90086,21.98184
2.85,8.55625,3.7155747,1.7242398,0.5320055,144.48524,79.54041,23.097082
2.8999999,9.025,3.864308,1.8233511,0.58025336,150.94464,83.26565,24.239935
2.9499998,9.506248,4.016009,1.9253515,0.6307208,157.54634,87.076645,25.410425
3.0,9.999998,4.1706767,2.0302396,0.6834074,164.29027,90.97339,26.60854
