mu,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps.01,GMM_scale_eps.1,GMM_scale_eps.5
0.0,1.0,1.1004521,1.5007358,2.0007625,0.5035511,0.54862183,0.74884707
0.02,1.0003998,1.1008638,1.5011497,2.0011768,0.5039718,0.5490387,0.7492566
0.04,1.0015999,1.1020753,1.5023631,2.002391,0.50519276,0.55025566,0.750466
0.06,1.0036,1.1040864,1.504376,2.004406,0.5072139,0.55227274,0.7524752
0.08,1.0064001,1.1068972,1.507189,2.00722,0.5100351,0.5550898,0.7552843
0.099999994,1.0100001,1.1105077,1.5108013,2.0108337,0.51365644,0.5587069,0.75889313
0.12,1.0144,1.1149178,1.5152135,2.0152476,0.5180779,0.56312406,0.76330197
0.14,1.0196002,1.1201273,1.5204258,2.0204608,0.52329934,0.5683412,0.7685108
0.16,1.0255998,1.1261371,1.5264372,2.0264742,0.5293211,0.5743584,0.77451926
0.17999999,1.0324,1.1329463,1.5332489,2.0332873,0.5361427,0.58117545,0.7813278
0.19999999,1.04,1.1405549,1.5408603,2.0408998,0.5437645,0.5887927,0.78893614
0.22,1.0484,1.1489638,1.5492711,2.0493124,0.55218625,0.5972099,0.7973445
0.24,1.0576,1.1581721,1.5584823,2.0585246,0.56140804,0.60642695,0.8065526
0.26,1.0676001,1.1681803,1.568493,2.0685368,0.5714298,0.6164441,0.8165608
0.28,1.0783999,1.1789881,1.5793034,2.079349,0.5822517,0.6272613,0.82736886
0.29999998,1.09,1.1905956,1.5909134,2.0909605,0.59387344,0.63887835,0.8389766
0.32,1.1024001,1.2030034,1.6033236,2.103372,0.60629517,0.6512951,0.85138464
0.34,1.1156,1.2162105,1.6165334,2.1165836,0.61951685,0.6645122,0.86459225
0.35999998,1.1295999,1.2302176,1.6305431,2.1305952,0.6335385,0.67852926,0.87860006
0.38,1.1443999,1.2450246,1.6453528,2.145406,0.64836013,0.693346,0.8934078
0.39999998,1.16,1.2606313,1.6609621,2.1610174,0.6639816,0.70896304,0.9090156
0.42,1.1764001,1.277038,1.6773714,2.177428,0.6804031,0.7253798,0.92542315
0.44,1.1935999,1.2942445,1.6945806,2.194639,0.69762456,0.7425966,0.9426307
0.45999998,1.2115998,1.312251,1.7125899,2.2126498,0.71564573,0.7606133,0.96063846
0.48,1.2304,1.3310572,1.7313986,2.2314599,0.7344671,0.77943,0.97944593
0.5,1.25,1.3506637,1.7510074,2.2510703,0.75408816,0.79904664,0.9990537
0.52,1.2704,1.3710696,1.7714162,2.2714808,0.77450943,0.81946325,1.0194613
0.53999996,1.2916,1.3922758,1.7926251,2.292691,0.7957304,0.8406796,1.040669
0.56,1.3136,1.4142821,1.8146335,2.3147013,0.8177512,0.86269623,1.0626764
0.58,1.3364,1.4370883,1.8374423,2.3375113,0.8405719,0.8855125,1.0854841
0.59999996,1.36,1.4606942,1.8610504,2.3611217,0.8641927,0.9091289,1.1090916
0.62,1.3844001,1.4851005,1.8854591,2.385531,0.88861346,0.9335452,1.1334993
0.64,1.4096,1.5103061,1.9106677,2.410741,0.91383404,0.95876145,1.1587071
0.65999997,1.4355998,1.5363125,1.936676,2.4367507,0.93985444,0.9847776,1.1847148
0.68,1.4624,1.5631185,1.9634845,2.4635606,0.96667486,1.0115938,1.2115227
0.7,1.49,1.5907246,1.9910926,2.4911704,0.9942953,1.0392098,1.2391303
0.71999997,1.5184001,1.6191307,2.0195014,2.5195806,1.0227156,1.067626,1.2675382
0.74,1.5475999,1.6483371,2.0487092,2.5487895,1.0519357,1.096842,1.2967458
0.76,1.5775999,1.6783435,2.0787177,2.5787992,1.081956,1.1268584,1.3267537
0.78,1.6084,1.7091495,2.1095262,2.6096094,1.1127762,1.1576741,1.3575616
0.79999995,1.6399997,1.7407562,2.141135,2.641219,1.1443961,1.18929,1.3891695
0.82,1.6723999,1.7731622,2.1735435,2.6736288,1.1768159,1.2217062,1.4215772
0.84,1.7056001,1.8063686,2.2067516,2.7068384,1.2100357,1.2549218,1.4547853
0.85999995,1.7395997,1.8403753,2.24076,2.740848,1.2440556,1.2889378,1.4887934
0.88,1.7744,1.8751817,2.275569,2.7756577,1.2788756,1.3237538,1.5236013
0.9,1.8100001,1.9107887,2.3111773,2.8112676,1.3144953,1.3593698,1.5592095
0.91999996,1.8463998,1.9471952,2.3475864,2.8476775,1.350915,1.395785,1.5956174
0.94,1.8836,1.9844024,2.3847947,2.8848875,1.3881345,1.4330012,1.6328257
0.96,1.9215999,2.022409,2.4228039,2.9228966,1.4261541,1.4710169,1.670834
0.97999996,1.9603999,2.0612159,2.4616125,2.961707,1.4649734,1.5098324,1.7096417
1.0,1.9999999,2.1008234,2.5012217,3.0013173,1.504593,1.5494484,1.7492503
1.02,2.0403998,2.1412303,2.5416298,3.041727,1.5450126,1.589864,1.7896585
1.04,2.0816002,2.1824377,2.5828395,3.082937,1.5862322,1.6310797,1.8308668
1.06,2.1236002,2.224445,2.6248481,3.1249468,1.6282512,1.6730952,1.8728751
1.0799999,2.1664002,2.2672527,2.6676574,3.167757,1.6710707,1.7159106,1.9156835
1.1,2.2099998,2.3108602,2.711266,3.2113671,1.7146903,1.7595265,1.9592917
1.12,2.2544,2.3552675,2.7556758,3.2557776,1.7591094,1.8039424,2.0037
1.14,2.2996001,2.4004753,2.8008854,3.300988,1.8043287,1.8491578,2.048909
1.16,2.3456,2.4464827,2.8468947,3.3469985,1.8503475,1.8951731,2.094917
1.18,2.3923995,2.4932907,2.8937042,3.3938076,1.8971668,1.9419887,2.1417255
1.1999999,2.4399998,2.5408986,2.9413135,3.4414182,1.9447862,1.9896046,2.1893342
1.22,2.4884002,2.5893068,2.9897232,3.4898293,1.9932055,2.0380201,2.237743
1.24,2.5376003,2.638515,3.0389326,3.5390399,2.0424247,2.0872357,2.2869515
1.26,2.5876002,2.6885233,3.0889423,3.5890498,2.0924437,2.1372514,2.3369598
1.28,2.6384,2.739331,3.1397524,3.6398609,2.143263,2.1880665,2.3877683
1.3,2.69,2.790939,3.191362,3.6914713,2.1948814,2.2396822,2.4393775
1.3199999,2.7423997,2.8433478,3.2437718,3.743882,2.2473006,2.2920976,2.4917858
1.3399999,2.7956002,2.8965561,3.2969818,3.7970924,2.3005197,2.3453128,2.5449946
1.36,2.8496003,2.9505649,3.3509917,3.8511043,2.3545392,2.399329,2.5990036
1.38,2.9043996,3.0053732,3.405802,3.9059153,2.409358,2.454144,2.6538122
1.4,2.96,3.0609822,3.4614122,3.961526,2.4649768,2.5097592,2.7094204
1.42,3.0163999,3.11739,3.517822,4.0179367,2.5213962,2.5661745,2.7658298
1.4399999,3.0735996,3.174599,3.5750327,4.075147,2.5786147,2.6233904,2.8230383
1.4599999,3.1315994,3.232608,3.6330423,4.1331587,2.6366336,2.6814055,2.8810468
1.48,3.1904,3.2914174,3.6918533,4.191971,2.6954527,2.7402215,2.9398558
1.5,3.25,3.351026,3.751464,4.2515826,2.7550716,2.7998374,2.9994652
1.52,3.3104,3.4114347,3.8118744,4.3119936,2.8154907,2.8602521,3.0598736
1.54,3.3715997,3.4726439,3.8730853,4.3732047,2.8767095,2.9214673,3.1210823
1.56,3.4336,3.5346532,3.9350955,4.4352155,2.938728,2.983483,3.183091
1.5799999,3.4963994,3.5974624,3.9979064,4.4980273,3.001547,3.0462987,3.2459004
1.5999999,3.5599997,3.6610715,4.061517,4.561638,3.0651662,3.1099136,3.3095088
1.62,3.6243997,3.725481,4.125928,4.6260505,3.1295855,3.1743293,3.3739188
