mu,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps.01,GMM_scale_eps.1,GMM_scale_eps.5
0.0,1.0,2.025896,1.7010466,2.0638363,0.5183391,0.6062667,0.7581479
0.04,1.0031999,2.0568976,1.7078394,2.0688066,0.52015686,0.6085621,0.76161605
0.08,1.0127999,2.1551306,1.7275594,2.0825403,0.5246573,0.6143691,0.7705795
0.12,1.0288001,2.3200483,1.7602834,2.104963,0.53183377,0.62367535,0.78504056
0.16,1.0512,2.5510075,1.8059386,2.1361318,0.54169655,0.6364896,0.8049983
0.19999999,1.0799999,2.8481424,1.8645593,2.1760457,0.55424505,0.6527919,0.8304116
0.24,1.1151999,3.2103274,1.936032,2.2246044,0.56945723,0.67258143,0.8612775
0.28,1.1568,3.6377237,2.0203257,2.281909,0.5873649,0.69586295,0.89761394
0.32,1.2048,4.12941,2.1175673,2.3478286,0.6079156,0.72259915,0.939355
0.35999998,1.2591999,4.684981,2.227665,2.4224567,0.6311405,0.75282246,0.98652667
0.39999998,1.32,5.3040657,2.3504882,2.5057893,0.65701675,0.786504,1.0390998
0.44,1.3872001,5.986264,2.486133,2.5977883,0.68552697,0.8236455,1.0970337
0.48,1.4607999,6.731183,2.6345525,2.6983922,0.71667606,0.8642284,1.1603792
0.52,1.5407999,7.538851,2.7957966,2.8076112,0.75047785,0.9082632,1.2290657
0.56,1.6272,8.406999,2.9698231,2.9255133,0.7869008,0.9557151,1.3031142
0.59999996,1.7199999,9.337648,3.1564121,3.0520597,0.8259704,1.0066221,1.3825095
0.64,1.8192002,10.32855,3.3557987,3.1871562,0.86764634,1.0608754,1.4672254
0.68,1.9248002,11.380064,3.567852,3.3308885,0.9119604,1.1186796,1.5572819
0.71999997,2.0368001,12.491467,3.7925746,3.483147,0.9589071,1.1798375,1.6526247
0.76,2.1551998,13.663565,4.0299296,3.644114,1.0084604,1.2444117,1.7532067
0.79999995,2.28,14.894336,4.2798533,3.8135755,1.0606377,1.3123848,1.8591485
0.84,2.4111998,16.184193,4.5425634,3.9915726,1.1154147,1.3837373,1.9703064
0.88,2.5487998,17.531519,4.8175244,4.1780963,1.1728039,1.458455,2.0867097
0.91999996,2.6927998,18.93905,5.1053057,4.3732524,1.2328091,1.5366004,2.208342
0.96,2.8432002,20.402506,5.4055443,4.576909,1.2954051,1.6180849,2.3351974
1.0,3.0,21.923515,5.718302,4.789011,1.3605807,1.7029957,2.4672847
1.04,3.1632004,23.500423,6.0435934,5.009791,1.428361,1.7911962,2.6045604
1.0799999,3.3328,25.134592,6.3812156,5.2388945,1.4987278,1.8828003,2.7470841
1.12,3.5087998,26.83149,6.731391,5.4764967,1.5716668,1.9777834,2.8947413
1.16,3.6912,28.579264,7.094135,5.722613,1.647186,2.0760584,3.0475955
1.1999999,3.8799999,30.378723,7.4688644,5.9772134,1.7253225,2.1777458,3.2055292
1.24,4.0752,32.23893,7.857271,6.2402883,1.8060164,2.2827384,3.3687024
1.28,4.2767997,34.14778,8.2568655,6.5119157,1.8892533,2.3910224,3.5368118
1.3199999,4.484799,36.117386,8.669445,6.7921033,1.9750671,2.502623,3.7102323
1.36,4.6992006,38.141315,9.093499,7.080407,2.0634558,2.6176028,3.8886476
1.4,4.9199996,40.224438,9.5309105,7.377259,2.154383,2.7358005,4.072152
1.4399999,5.147199,42.354763,9.979311,7.682832,2.2478287,2.8574674,4.2609057
1.48,5.3808002,44.533096,10.4417515,7.996464,2.3438985,2.9822524,4.4544945
1.52,5.6208,46.768932,10.914445,8.318513,2.4425397,3.1104918,4.653177
1.56,5.8671994,49.06701,11.401642,8.648906,2.5436084,3.241866,4.857087
1.5999999,6.12,51.416805,11.900315,8.988141,2.6472535,3.3766124,5.065996
1.64,6.3791995,53.786655,12.410908,9.335343,2.7534492,3.5146537,5.2796474
1.68,6.6447997,56.241318,12.9337225,9.690901,2.8623142,3.6560678,5.4986606
1.7199999,6.916799,58.73705,13.468486,10.055095,2.9734774,3.8005395,5.722348
1.76,7.1951995,61.28187,14.015711,10.42768,3.0873783,3.9483097,5.951198
1.8,7.48,63.884697,14.575158,10.8082,3.2036834,4.099561,6.1851416
1.8399999,7.771199,66.5045,15.146799,11.197126,3.3223727,4.2537713,6.423994
1.88,8.0688,69.25626,15.72948,11.594704,3.4437566,4.4113345,6.6672792
1.92,8.3728,71.90753,16.325607,12.000276,3.5676088,4.5719676,6.91634
1.9599999,8.683199,74.79621,16.933474,12.414007,3.693966,4.736175,7.169753
2.0,9.0,77.62212,17.554014,12.8363085,3.8229487,4.9036636,7.428296
