P,tau2,mu,s2_ce,var_ce,se_ce,ef_ce,s2_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
Normal,1.0,0.0,1.000049,0.49714538,6.987735e-07,100.000015,0.9999948,1.3581147e-08,1.923927e-14,99.999985,2.731826e-08,5.580528e-10
Normal,1.0,0.02,1.00045,0.4969936,6.982477e-07,99.961044,1.0007981,0.0010125967,1.376872e-09,99.961075,0.0020374442,3.9894938e-05
Normal,1.0,0.04,1.0016509,0.49605444,6.9658137e-07,99.84458,1.0032021,0.004006345,5.4454086e-09,99.8447,0.008076422,0.00015815653
Normal,1.0,0.06,1.0036519,0.49433115,6.9378353e-07,99.651596,1.007207,0.008853688,1.2025603e-08,99.65222,0.01791044,0.00035074507
Normal,1.0,0.08,1.0064529,0.49183062,6.898685e-07,99.38385,1.0128126,0.015352517,2.0843633e-08,99.38569,0.03121505,0.0006113178
Normal,1.0,0.099999994,1.0100538,0.48856387,6.848586e-07,99.04368,1.0200192,0.023241013,3.154635e-08,99.04794,0.04757006,0.0009316149
Normal,1.0,0.12,1.0144547,0.4845454,6.787793e-07,98.63405,1.0288264,0.03221212,4.3722622e-08,98.64237,0.06647905,0.0013019899
Normal,1.0,0.14,1.0196556,0.47979426,6.7166434e-07,98.15835,1.0392343,0.041933253,5.692984e-08,98.17278,0.0873984,0.0017117762
Normal,1.0,0.16,1.0256567,0.47433242,6.6355045e-07,97.62051,1.0512433,0.05206765,7.07159e-08,97.643486,0.10977038,0.002149934
Normal,1.0,0.17999999,1.0324576,0.46818614,6.544804e-07,97.024574,1.0648532,0.06228747,8.465198e-08,97.05875,0.13303997,0.0026057668
Normal,1.0,0.19999999,1.0400586,0.46138513,6.445009e-07,96.37506,1.0800642,0.0722927,9.833234e-08,96.42311,0.15668623,0.0030688103
Normal,1.0,0.22,1.0484595,0.45396268,6.3366525e-07,95.67655,1.0968759,0.08182353,1.1141271e-07,95.74104,0.18024285,0.00352985
Normal,1.0,0.24,1.0576606,0.44595554,6.220275e-07,94.933685,1.115289,0.090668544,1.2361627e-07,95.016945,0.20331296,0.0039810184
Normal,1.0,0.26,1.0676615,0.43740317,6.0964953e-07,94.15112,1.1353029,0.098666124,1.3470786e-07,94.2551,0.2255725,0.0044156485
Normal,1.0,0.28,1.0784624,0.42834783,5.965923e-07,93.33345,1.1569183,0.105709836,1.4454228e-07,93.459526,0.24678504,0.0048287427
Normal,1.0,0.29999998,1.0900633,0.41883424,5.8292164e-07,92.48504,1.1801351,0.11174492,1.5305555e-07,92.634094,0.26679987,0.005217203
Normal,1.0,0.32,1.1024643,0.4089088,5.687047e-07,91.61031,1.2049533,0.11676015,1.6019655e-07,91.78237,0.2855408,0.005578863
Normal,1.0,0.34,1.1156652,0.39861947,5.540105e-07,90.71319,1.2313731,0.12078259,1.6600498e-07,90.90779,0.30300224,0.0059133614
Normal,1.0,0.35999998,1.1296662,0.38801515,5.3890784e-07,89.79758,1.2593946,0.12387913,1.70554e-07,90.01344,0.31926364,0.006221699
Normal,1.0,0.38,1.1444671,0.37714523,5.2346707e-07,88.867035,1.2890178,0.12612738,1.7393774e-07,89.10221,0.33442655,0.0065053967
Normal,1.0,0.39999998,1.1600679,0.3660589,5.07756e-07,87.924866,1.3202434,0.12763304,1.7627784e-07,88.17685,0.34866804,0.0067671183
