epsilon,sigma2_cem,sigma2_eis,rho_cem,rho_eis,are
0.01,5000.5,3698.2385,25.361786,,1.6434658
0.010964781,4159.3193,3115.435,23.16338,,1.5785116
0.012022645,3459.6543,2624.7197,21.152681,,1.5152376
0.013182567,2877.6997,2211.4968,19.321201,,1.4536482
0.014454396,2393.651,1863.4865,17.656025,,1.3936604
0.015848933,1991.0356,1570.3645,16.13228,,1.3352013
0.017378008,1656.1556,1323.4496,14.743656,,1.2782954
0.019054607,1377.6145,1115.4347,13.478525,,1.2229722
0.020892957,1145.9343,940.17346,12.325257,,1.1692421
0.022908676,953.2304,792.49225,11.272505,,1.1170969
0.025118863,792.94666,668.03906,10.312414,,1.0665315
0.027542284,659.62854,563.15015,9.437771,,1.0175751
0.030199518,548.7391,474.74216,8.639641,,0.9702677
0.03311311,456.50546,400.22073,7.9122925,,0.9246858
0.0363078,379.78888,337.40164,7.2486615,,0.88090146
0.03981072,315.97864,284.44467,6.6438403,,0.8389633
0.04365158,262.90375,239.80014,6.0922556,,0.79888237
0.047863003,218.75798,202.16167,5.589556,,0.7606042
0.05248075,182.039,170.42863,5.131304,,0.72404605
0.057543993,151.49759,143.67375,4.7136087,,0.6891223
0.063095726,126.09436,121.11506,4.3329463,,0.65581155
0.069183104,104.96478,102.09369,3.9861302,,0.62412214
0.07585776,87.39004,86.05463,3.6701884,,0.5941021
0.08317637,72.77201,72.530136,3.3824449,3.9652305,0.5658133
0.09120109,60.613213,61.125996,3.1204772,2.7249913,0.53929543
0.1,50.499996,51.510067,2.8820655,2.376493,0.5145713
0.10964781,42.088196,43.402267,2.6652179,2.1591778,0.49163154
0.120226435,35.091553,36.566513,2.4680948,1.9952351,0.4704511
0.13182567,29.271997,30.80375,2.2890406,1.8614149,0.45099446
0.14454396,24.431509,25.946142,2.1265776,1.7477727,0.43324098
0.15848932,20.40536,21.852076,1.979336,1.6491059,0.41718677
0.17378007,17.056559,18.402185,1.8461093,1.5622945,0.40286076
0.19054607,14.271144,15.495762,1.7258039,1.4852862,0.39029747
0.20892961,11.954338,13.047869,1.6174436,1.416631,0.3795416
0.22908674,10.027306,10.98687,1.5201583,1.3552506,0.3706107
0.25118864,8.424466,9.252356,1.4331806,1.3003125,0.36348447
0.27542284,7.0912848,7.793388,1.3558342,1.251162,0.35805446
0.30199516,5.9823914,6.5670204,1.2875297,1.2072752,0.3540757
0.3311311,5.060055,5.5370717,1.2277532,1.168235,0.35106805
0.36307803,4.2928886,4.6730714,1.1760551,1.1337154,0.3481592
0.39810714,3.654787,3.9493852,1.1320369,1.1034724,0.3438508
0.43651578,3.124038,3.3444707,1.0953281,1.0773377,0.3357176
0.47863004,2.6825798,2.8402522,1.0655566,1.0552126,0.32018816
0.5248074,2.3153906,2.4215798,1.0423093,1.0370523,0.29268715
0.5754399,2.0099764,2.075732,1.0250794,1.0228295,0.24886042
0.63095725,1.7559435,1.7919313,1.0132129,1.0124607,0.18771543
0.69183093,1.5446482,1.5608319,1.0058628,1.0056896,0.11643276
0.7585775,1.3689005,1.3739797,1.0019853,1.0019639,0.052230187
0.8317637,1.22272,1.2233089,1.0004131,1.0004125,0.013171363
0.9120107,1.1011324,1.1009741,1.0000267,1.0000267,0.0009203365
1.0,1.0,0.99999976,0.99999994,1.0,2.956934e-10
