mu,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps.01,GMM_scale_eps.1,GMM_scale_eps.5
0.0,0.99999994,1.9322932,1.0915153,1.0181369,2.8820713,1.2566049,1.0046717
0.04,1.0015975,1.9351027,1.0926747,1.0189482,2.7798524,1.2569249,1.0067564
0.08,1.0063593,1.9434807,1.0961443,1.0213779,2.6933851,1.2659848,1.0130863
0.12,1.0141975,1.9573039,1.1018825,1.0254034,2.578409,1.2788298,1.0234449
0.16,1.0249715,1.976367,1.1098198,1.0309883,2.48926,1.2938182,1.0375698
0.19999999,1.0384998,2.0004,1.1198654,1.0380828,2.4372323,1.3105621,1.0551413
0.24,1.0545722,2.029074,1.1319078,1.0466268,2.418191,1.329553,1.0758126
0.28,1.0729618,2.0620146,1.1458197,1.0565503,2.4259298,1.3515352,1.0992372
0.32,1.0934371,2.0988233,1.1614622,1.0677762,2.4552193,1.3771166,1.1250896
0.35999998,1.1157733,2.1390872,1.1786907,1.0802222,2.502073,1.4066405,1.1530775
0.39999998,1.1397582,2.1823916,1.1973569,1.0938033,2.5634766,1.4402039,1.1829449
0.44,1.1651992,2.2283344,1.217315,1.1084327,2.6371124,1.4777223,1.2144749
0.48,1.1919242,2.2765403,1.2384216,1.1240244,2.721156,1.5189973,1.2474842
0.52,1.2197845,2.3266504,1.2605432,1.140495,2.8141353,1.5637674,1.2818202
0.56,1.2486523,2.3783484,1.2835535,1.1577643,2.91484,1.6117444,1.3173548
0.59999996,1.27842,2.4313543,1.3073387,1.1757563,3.0222557,1.6626358,1.3539813
0.64,1.3089974,2.4854195,1.3317951,1.1944014,3.1355255,1.7161602,1.3916084
0.68,1.3403096,2.5403335,1.3568311,1.2136335,3.2539153,1.7720532,1.4301581
0.71999997,1.3722943,2.59592,1.3823675,1.2333946,3.376795,1.8300707,1.4695626
0.76,1.4048997,2.6520405,1.4083352,1.2536321,3.5036197,1.8899925,1.509763
0.79999995,1.4380819,2.7085767,1.434677,1.274298,3.6339161,1.9516196,1.5507057
0.84,1.4718043,2.7654417,1.4613427,1.2953514,3.7672749,2.0147743,1.5923431
0.88,1.5060347,2.822564,1.4882929,1.3167555,3.9033363,2.079298,1.6346319
0.91999996,1.5407459,2.8798916,1.5154955,1.3384794,4.0417905,2.14505,1.6775322
0.96,1.5759131,2.9373972,1.5429239,1.3604956,4.1823635,2.2119057,1.7210076
1.0,1.6115143,2.995053,1.5705571,1.382781,4.3248177,2.279754,1.7650237
1.04,1.6475296,3.052852,1.5983787,1.4053155,4.4689436,2.3484967,1.8095495
1.0799999,1.6839399,3.1107764,1.6263769,1.4280823,4.6145587,2.4180467,1.8545551
1.12,1.7207289,3.1688304,1.6545423,1.4510673,4.761505,2.4883275,1.9000134
1.16,1.7578791,3.2270296,1.6828673,1.4742583,4.9096375,2.55927,1.9458987
1.1999999,1.7953758,3.2853632,1.7113484,1.4976453,5.0588355,2.630813,1.9921867
1.24,1.8332043,3.3438482,1.7399813,1.5212194,5.2089868,2.7029026,2.038855
1.28,1.8713504,3.4024947,1.7687634,1.5449736,5.359996,2.7754898,2.0858822
1.3199999,1.9098002,3.4613116,1.7976941,1.5689013,5.511778,2.8485322,2.1332488
1.36,1.9485418,3.5203075,1.8267726,1.5929973,5.664257,2.921991,2.180936
1.4,1.9875624,3.5794888,1.8559966,1.6172565,5.817366,2.9958308,2.2289267
1.4399999,2.02685,3.6388686,1.885367,1.641675,5.971046,3.0700207,2.2772043
1.48,2.0663931,3.6984563,1.9148827,1.66625,6.125244,3.144533,2.3257537
1.52,2.1061819,3.7582507,1.9445449,1.6909761,6.279912,3.2193418,2.37456
1.56,2.1462045,3.818266,1.9743516,1.715852,6.435008,3.2944245,2.4236102
1.5999999,2.1864517,3.8785074,2.0043032,1.7408733,6.590494,3.3697612,2.4728916
1.64,2.2269144,3.9389715,2.0343974,1.7660381,6.7463384,3.4453325,2.522392
1.68,2.2675827,3.999668,2.0646338,1.7913432,6.9025083,3.5211217,2.5721002
1.7199999,2.308448,4.0605946,2.0950139,1.8167866,7.058978,3.5971131,2.622006
1.76,2.349502,4.1217513,2.125533,1.8423653,7.215721,3.6732926,2.672099
1.8,2.3907378,4.183151,2.156192,1.868077,7.372718,3.7496479,2.7223706
1.8399999,2.4321458,4.244779,2.1869884,1.8939183,7.529947,3.8261673,2.7728117
1.88,2.4737203,4.306644,2.2179205,1.9198878,7.687391,3.9028397,2.823414
1.92,2.5154538,4.368731,2.2489867,1.9459822,7.8450327,3.9796553,2.8741703
1.9599999,2.5573401,4.4310594,2.2801838,1.9721996,8.002858,4.0566044,2.9250724
2.0,2.5993724,4.4936156,2.3115118,1.9985375,8.160854,4.1336803,2.9761138
