mu,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps.01,GMM_scale_eps.1,GMM_scale_eps.5
0.0,0.99999994,2.0754082,1.0920947,1.0179772,2.317192,1.1857864,1.0045439
0.04,1.0015962,2.0839164,1.0932719,1.0187776,2.3198466,1.1886241,1.0066457
0.08,1.0063401,2.1107137,1.0967722,1.0211643,2.333127,1.1973225,1.0128835
0.12,1.0141062,2.1557188,1.1025648,1.0251063,2.3451107,1.2113087,1.0230486
0.16,1.0247099,2.2185028,1.1105951,1.0305585,2.3546996,1.2299145,1.0368478
0.19999999,1.0379356,2.2983446,1.1208045,1.0374608,2.3670292,1.2525992,1.0539577
0.24,1.0535634,2.3937263,1.1331244,1.045748,2.3870196,1.2790055,1.0740644
0.28,1.0713881,2.5031316,1.1474872,1.0553534,2.4171276,1.3089356,1.0968875
0.32,1.0912298,2.6246836,1.163837,1.0662107,2.4584923,1.3422878,1.1221839
0.35999998,1.1129353,2.7566793,1.1821057,1.0782598,2.510899,1.3789699,1.1497473
0.39999998,1.1363764,2.8975654,1.2022214,1.0914456,2.5738251,1.4188861,1.179398
0.44,1.1614432,3.0459728,1.2241216,1.1057184,2.6464906,1.461905,1.2109762
0.48,1.1880404,3.2007184,1.2477332,1.1210315,2.7280362,1.5078666,1.2443428
0.52,1.216081,3.360885,1.2729838,1.1373451,2.8176298,1.5565886,1.2793633
0.56,1.2454844,3.5252979,1.2997916,1.1546229,2.9145026,1.6078737,1.3159181
0.59999996,1.2761736,3.6936963,1.3280585,1.1728289,3.017926,1.6615249,1.3538938
0.64,1.3080745,3.8651657,1.3577204,1.1919255,3.1272433,1.7173358,1.3931823
0.68,1.3411146,4.0393543,1.3886825,1.2118816,3.2418523,1.7751365,1.4336873
0.71999997,1.375225,4.2157984,1.4208659,1.2326597,3.36121,1.8347292,1.475312
0.76,1.410338,4.394325,1.4541878,1.2542331,3.4848268,1.8959547,1.5179665
0.79999995,1.4463894,4.5744133,1.4885663,1.2765601,3.6122608,1.9586575,1.5615838
0.84,1.483318,4.755926,1.5239472,1.2996088,3.743116,2.0226967,1.6060761
0.88,1.5210649,4.9384956,1.560219,1.323346,3.8770373,2.0879443,1.6513797
0.91999996,1.5595752,5.122339,1.5973626,1.3477439,4.0137086,2.1542935,1.6974306
0.96,1.5987976,5.3068137,1.6352888,1.372765,4.1528435,2.2216315,1.744172
1.0,1.6386837,5.4920363,1.6739471,1.3983749,4.2941856,2.289876,1.7915524
1.04,1.679188,5.677758,1.7132866,1.4245554,4.4375153,2.3589299,1.83952
1.0799999,1.7202682,5.864058,1.7532444,1.45126,4.5826263,2.4287312,1.8880377
1.12,1.7618862,6.0514636,1.793793,1.4784695,4.7293386,2.4992104,1.9370537
1.16,1.804005,6.2386727,1.8348925,1.5061576,4.8774934,2.5703,1.9865382
1.1999999,1.8465912,6.4257884,1.8764625,1.5342982,5.0269485,2.6419587,2.0364463
1.24,1.8896141,6.6136684,1.9185916,1.562866,5.177574,2.714128,2.0867639
1.28,1.9330444,6.8011484,1.9610685,1.5918422,5.329254,2.7867646,2.1374333
1.3199999,1.9768555,6.989319,2.0039918,1.6212054,5.4818907,2.8598316,2.1884654
1.36,2.0210238,7.1775904,2.0472305,1.650913,5.6353927,2.9333005,2.2398071
1.4,2.0655253,7.3663535,2.09089,1.680967,5.789677,3.0071263,2.2914455
1.4399999,2.1103394,7.554573,2.134785,1.7113582,5.9446735,3.0813003,2.3433766
1.48,2.1554475,7.742379,2.1791017,1.7420359,6.100315,3.155771,2.3955443
1.52,2.2008305,7.9305215,2.223569,1.7730021,6.256543,3.2305393,2.447956
1.56,2.2464721,8.119356,2.268446,1.8042383,6.41331,3.3055625,2.5006084
1.5999999,2.2923574,8.308038,2.313522,1.8357539,6.570566,3.3808382,2.5534673
1.64,2.338471,8.494259,2.3588095,1.8674934,6.7282677,3.4563427,2.606498
1.68,2.3848004,8.682824,2.4043157,1.8994629,6.88637,3.5320654,2.659742
1.7199999,2.4313333,8.870513,2.4500117,1.9316641,7.044862,3.6079745,2.7131307
1.76,2.4780576,9.05792,2.4959145,1.9640744,7.203683,3.6840692,2.7666948
1.8,2.524963,9.245681,2.5420015,1.9966617,7.362829,3.7603488,2.8204193
1.8399999,2.5720396,9.4310465,2.5882583,2.0294385,7.5222774,3.8367734,2.8742802
1.88,2.6192784,9.621623,2.634612,2.0624073,7.6819806,3.9133546,2.9282336
1.92,2.66667,9.802335,2.6811914,2.0955284,7.8419347,3.9900696,2.9823763
1.9599999,2.7142062,9.994809,2.7278888,2.1288023,8.002119,4.066932,3.0365918
2.0,2.761881,10.1799965,2.7747507,2.1622398,8.162505,4.143922,3.0909336
