sigma2,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps.01,GMM_scale_eps.1,GMM_scale_eps.5
0.5,,2.5314796,3.7621965,,,,
0.55,1.7392519,2.3639293,2.7261996,19154.889,2.1241605,1.2566049,1.1682343
0.59999996,1.3416408,2.2451534,2.18459,99.805504,2.0990536,1.1885691,1.0632981
0.65,1.1867323,2.1588042,1.863128,16.851307,2.1316185,1.1802051,1.0251777
0.7,1.1067972,2.094972,1.6555455,6.945361,2.1802592,1.1896551,1.0095137
0.75,1.0606601,2.0473273,1.5133588,4.113737,2.234961,1.2066951,1.0046717
0.79999995,1.0327955,2.011659,1.4117208,2.924036,2.2920756,1.2275075,1.0059702
0.85,1.0159444,1.9850596,1.3367373,2.3065047,2.3499858,1.2503355,1.0110899
0.9,1.0062306,1.9654689,1.2800984,1.9411311,2.407892,1.274262,1.0187293
0.9499999,1.001388,1.9513862,1.2365589,1.7051691,2.465373,1.2987672,1.0280952
1.0,0.99999994,1.9416943,1.2026607,1.5430804,2.522203,1.3235394,1.0386751
1.05,1.0011357,1.9355459,1.176038,1.4265907,2.5782597,1.3483839,1.0501227
1.0999999,1.004158,1.9322915,1.1550231,1.3399764,2.6334834,1.3731756,1.0621965
1.15,1.0086168,1.931416,1.1384101,1.2738755,2.6878486,1.3978336,1.0747229
1.2,1.0141852,1.9325199,1.1253052,1.2224005,2.7413516,1.4223042,1.0875745
1.25,1.0206207,1.9352769,1.1150354,1.1816815,2.7940025,1.4465525,1.1006569
1.3,1.0277402,1.9394304,1.1070828,1.1490779,2.845818,1.4705567,1.1138982
1.35,1.0354028,1.9447628,1.1010442,1.1227324,2.8968205,1.4943027,1.1272433
1.3999999,1.0434984,1.9511013,1.0966012,1.1013023,2.947034,1.5177833,1.1406498
1.45,1.0519406,1.9582955,1.093499,1.0837953,2.996486,1.540995,1.1540847
1.5,1.0606602,1.966224,1.091532,1.0694641,3.0452006,1.5639372,1.167522
1.55,1.0696017,1.9747854,1.0905321,1.0577339,3.0932045,1.5866116,1.1809411
1.5999999,1.0787197,1.9838932,1.090361,1.0481578,3.1405232,1.6090215,1.194326
1.65,1.0879778,1.993473,1.0909035,1.0403824,3.1871808,1.6311713,1.2076643
1.6999999,1.0973452,2.0034623,1.0920644,1.0341252,3.2332015,1.6530656,1.2209452
1.75,1.1067972,2.0138032,1.0937618,1.0291576,3.278608,1.6747097,1.2341616
1.8,1.1163125,2.0244515,1.095928,1.0252932,3.323422,1.6961093,1.2473066
1.85,1.1258742,2.035367,1.0985043,1.0223783,3.367664,1.7172707,1.2603759
1.9,1.1354672,2.046514,1.1014405,1.0202851,3.4113538,1.7381991,1.2733654
1.95,1.1450795,2.0578609,1.1046944,1.0189066,3.4545105,1.7589009,1.2862726
2.0,1.1547004,2.069382,1.1082277,1.0181525,3.4971514,1.7793815,1.2990949
2.05,1.1643218,2.0810516,1.1120085,1.0179466,3.5392945,1.799647,1.3118317
2.1,1.1739357,2.0928502,1.1160094,1.0182233,3.5809555,1.8197026,1.3244815
2.1499999,1.1835359,2.1047611,1.1202042,1.0189269,3.622149,1.8395542,1.3370435
2.2,1.1931176,2.116766,1.1245726,1.0200088,3.6628919,1.859207,1.3495184
2.25,1.2026755,2.1288512,1.1290945,1.0214273,3.7031958,1.878666,1.3619052
2.3,1.2122065,2.1410031,1.1337538,1.0231462,3.7430754,1.8979363,1.3742049
2.3500001,1.2217069,2.1532109,1.1385353,1.0251329,3.7825432,1.9170231,1.3864177
2.4,1.231174,2.165465,1.1434257,1.0273602,3.821611,1.9359306,1.3985443
2.4499998,1.2406056,2.1777568,1.1484128,1.0298033,3.86029,1.9546633,1.4105852
2.4999998,1.2499999,2.1900775,1.1534868,1.0324405,3.8985922,1.973226,1.4225419
2.55,1.2593552,2.20242,1.1586378,1.0352525,3.9365284,1.9916228,1.4344146
2.6,1.2686701,2.214778,1.1638575,1.0382222,3.9741073,2.0098577,1.4462047
2.6499999,1.2779434,2.2271473,1.1691376,1.0413342,4.011339,2.0279346,1.4579129
2.6999998,1.2871743,2.2395186,1.1744723,1.0445752,4.048234,2.0458574,1.4695407
2.75,1.2963624,2.2518904,1.1798551,1.0479329,4.0848,2.0636296,1.4810891
2.8,1.3055067,2.2642567,1.1852804,1.0513963,4.121045,2.0812547,1.492559
2.85,1.3146068,2.2766175,1.1907425,1.0549552,4.156978,2.0987365,1.5039515
2.8999999,1.3236628,2.2889655,1.1962377,1.0586014,4.192606,2.116078,1.5152681
2.9499998,1.3326741,2.3012989,1.2017614,1.0623263,4.2279387,2.1332822,1.5265095
3.0,1.3416407,2.3136158,1.2073098,1.0661229,4.2629805,2.1503525,1.537677
