date,mean,1.0 %,2.5 %,5.0 %,10.0 %,15.0 %,20.0 %,25.0 %,30.0 %,35.0 %,40.0 %,45.0 %,50.0 %,55.0 %,60.0 %,65.0 %,70.0 %,75.0 %,80.0 %,85.0 %,90.0 %,95.0 %,97.5 %,99.0 %
2021-03-13,,35569,38715,41227,44327,46506,48430,50153,51640,53009,55729,58448,59823,61223,62975,64795,66432,68222,70238,72781,75911,80445,84771,90258
2021-03-20,,47108,50528,53387,57268,60172,62955,65485,67373,69212,71851,74523,76248,78463,80863,83481,85681,87856,90476,93787,98359,105248,111405,119098
2021-03-27,,72924,77568,81437,86844,90689,94759,98308,101013,103728,106497,109392,111876,114449,119358,124410,127577,131056,136564,143026,149530,159261,167970,178427
2021-04-03,,84903,89860,94823,101257,105782,110430,114600,117924,121219,126070,130954,133995,137073,141659,146556,150419,154507,159629,165714,173487,185308,195791,207735
2021-04-10,,70535,74850,79074,84418,88446,91972,95243,98112,100930,104111,107187,109963,112763,115965,119364,122652,126700,130825,135779,142450,153093,162841,173236
2021-04-17,,78855,84091,88739,94851,99370,103165,106637,109978,113812,116886,119906,123072,126414,129879,133376,143524,147918,152826,158880,166815,178916,189985,201978
2021-04-24,,97884,103324,108569,115182,119875,124091,127812,131292,137905,141130,144438,147605,151087,154553,158371,162900,167506,172738,179237,187698,200554,212683,226226
2021-05-01,,102829,107495,112501,118922,123778,128431,132042,135331,138951,142080,145266,148276,151500,154939,158477,162246,166565,171610,177581,185364,197672,209071,223221
2021-05-08,,82466,86669,90285,95341,99171,102990,105962,108610,111527,114140,116859,119258,122163,124960,128018,139483,143508,147854,153612,160747,173042,184855,198889
2021-05-15,,61142,64649,68116,72417,75540,78669,81566,83958,86403,88507,90554,92649,94872,97352,99879,103627,106712,110255,114828,120674,130048,138935,149465
2021-05-22,,34241,36505,39196,42225,44443,46291,48587,50337,51936,53493,54931,56363,57871,59455,61220,64839,66900,69464,72426,76255,82929,88691,95779
2021-05-29,,26132,28371,30564,32933,34749,36304,38242,39622,41352,42594,43734,44882,46134,47351,48722,50417,52114,54216,56612,59863,65163,69842,75207
2021-06-05,,13148,14290,15454,16970,18465,19307,20224,20964,21723,22480,23151,23904,24627,25414,26257,27439,28478,29865,31554,33962,37992,41427,44498
2021-06-12,,7128,7746,8648,9867,10793,11652,12312,13083,13887,14529,15116,15704,16318,16939,17599,18427,19212,20210,21468,23185,26076,28529,31143
2021-06-19,,4861,5346,5858,6576,7186,7749,8235,8859,9464,9935,10368,10785,11233,11688,12164,12838,13460,14214,15172,16513,18819,20786,22725
2021-06-26,,2251,2463,2702,3009,3247,3448,3617,3919,4215,4524,4790,5042,5290,5566,5845,6223,6613,7060,7637,8306,9262,10308,11788
2021-07-03,,1192,1302,1429,1618,1778,1923,2109,2262,2527,2727,2944,3143,3361,3576,3789,4069,4354,4674,5033,5666,6456,7306,8695
2021-07-10,,1326,1431,1569,1774,1934,2112,2261,2429,2644,2840,3036,3228,3439,3658,3862,4211,4479,4780,5169,5760,6496,7169,8166
2021-07-17,,2203,2468,2752,3102,3335,3560,3820,4111,4388,4627,4860,5110,5361,5624,5922,6295,6677,7090,7613,8356,9547,10717,11925
2021-07-24,,5223,6125,6753,7788,8483,8950,9304,9882,10836,11429,11637,11754,11844,12044,12658,13480,13830,13996,14190,14634,15576,16692,18112
2021-07-31,,7858,8693,9522,10033,10990,11855,12517,12581,12898,13208,13599,14051,14380,14740,15532,16104,16745,17657,18838,19976,21280,22061,23406
2021-08-07,,12129,13723,14351,14590,16086,17294,17848,18310,18666,19134,19531,19951,20206,20393,20658,21015,21371,22286,23851,24360,25770,27016,28354
2021-08-14,,13462,14637,16841,18038,19234,20001,20681,21367,21837,22205,22788,23370,23871,24480,25247,26324,26774,27847,29017,30688,32536,34535,38311
2021-08-21,,25417,26995,28858,31296,32856,34172,35198,36114,37028,37635,38362,38840,39426,40257,41228,42320,43486,44747,46270,48075,49900,52748,54954
2021-08-28,,46058,49325,52446,54106,55089,57058,58898,60401,61792,63422,64745,66246,67759,69407,71064,71559,71862,72324,72819,73393,76979,80028,83692
2021-09-04,,61734,64600,67175,70252,71402,75994,76334,76640,77692,78397,78858,79246,79768,82190,85038,88200,91594,95464,97970,101128,104541,107894,112083
2021-09-11,,58663,62968,68423,70761,73943,76574,78906,81060,83109,85101,87073,89059,91056,91826,92575,93162,94029,94770,97331,98485,103344,107454,111723
