date,cases
2021-01-02,132622
2021-01-09,147150
2021-01-16,134071
2021-01-23,105304
2021-01-30,86588
2021-02-06,72059
2021-02-13,55184
2021-02-20,49626
2021-02-27,54965
2021-03-06,57838
2021-03-13,63259
2021-03-20,83969
2021-03-27,105003
2021-04-03,120308
2021-04-10,101255
2021-04-17,142957
2021-04-24,145980
2021-05-01,136344
2021-05-08,110391
2021-05-15,85052
2021-05-22,58122
2021-05-29,34708
2021-06-05,25763
2021-06-12,15936
2021-06-19,8462
2021-06-26,5549
2021-07-03,4102
2021-07-10,4786
2021-07-17,7313
2021-07-24,10811
2021-07-31,14173
2021-08-07,17668
2021-08-14,26208
2021-08-21,42414
2021-08-28,60773
2021-09-04,70525
2021-09-11,74728
2021-09-18,66797
2021-09-25,55515
2021-10-02,56226
2021-10-09,56188
2021-10-16,60351
2021-10-23,83122
2021-10-30,121840
2021-11-06,150368
2021-11-13,233402
2021-11-20,305401
2021-11-27,401879
2021-12-04,401390
2021-12-11,371960
2021-12-18,297855
2021-12-25,202261
2022-01-01,185546
2022-01-08,308813
2022-01-15,417456
2022-01-22,625095
2022-01-29,968533
2022-02-05,1242523
2022-02-12,1338110
2022-02-19,1246277
2022-02-26,1143023
2022-03-05,1082878
2022-03-12,1275768
2022-03-19,1530328
2022-03-26,1605042
2022-04-02,1464011
2022-04-09,1084012
2022-04-16,741396
2022-04-23,823807
2022-04-30,704515
2022-05-07,504441
2022-05-14,446628
2022-05-21,336247
2022-05-28,202578
2022-06-04,251485
2022-06-11,286382
2022-06-18,386159
2022-06-25,557086
2022-07-02,612185
2022-07-09,632386
2022-07-16,643597
2022-07-23,669179
2022-07-30,548187
2022-08-06,391396
2022-08-13,310779
2022-08-20,282400
2022-08-27,236238
2022-09-03,210361
2022-09-10,203601
2022-09-17,221658
2022-09-24,261344
2022-10-01,407287
2022-10-08,513994
2022-10-15,690960
2022-10-22,580735
2022-10-29,425350
2022-11-05,261500
2022-11-12,220113
2022-11-19,175052
2022-11-26,168400
2022-12-03,181543
2022-12-10,196041
2022-12-17,220513
2022-12-24,231271
2022-12-31,192020
2023-01-07,139674
2023-01-14,95596
2023-01-21,63249
2023-01-28,71088
2023-02-04,83105
2023-02-11,71315
2023-02-18,108222
2023-02-25,108949
2023-03-04,99787
2023-03-11,38210
