ags_work,ags_home,total
01001,01001,0
01001,01002,330
01001,01003,65
01001,01004,61
01001,01051,201
01001,01053,27
01001,01054,2566
01001,01055,36
01001,01056,64
01001,01057,60
01001,01058,883
01001,01059,16134
01001,01060,93
01001,01061,66
01001,01062,42
01001,02000,306
01001,03101,0
01001,03102,0
01001,03103,0
01001,03151,0
01001,03153,0
01001,03154,0
01001,03155,0
01001,03157,0
01001,03158,0
01001,03159,13
01001,03241,33
01001,03251,12
01001,03252,0
01001,03254,0
01001,03255,0
01001,03256,0
01001,03257,0
01001,03351,10
01001,03352,14
01001,03353,26
01001,03354,0
01001,03355,0
01001,03356,0
01001,03357,15
01001,03358,0
01001,03359,17
01001,03360,0
01001,03361,0
01001,03401,41
01001,03402,0
01001,03403,12
01001,03404,0
01001,03405,0
01001,03451,0
01001,03452,0
01001,03453,33
01001,03454,0
01001,03455,0
01001,03456,20
01001,03457,0
01001,03458,17
01001,03459,24
01001,03460,0
01001,03461,0
01001,03462,0
01001,04011,63
01001,04012,0
01001,05111,0
01001,05112,0
01001,05113,10
01001,05114,0
01001,05116,0
01001,05117,0
01001,05119,0
01001,05120,0
01001,05122,0
01001,05124,0
01001,05154,0
01001,05158,0
01001,05162,0
01001,05166,0
01001,05170,0
01001,05314,0
01001,05315,13
01001,05316,0
01001,05334,0
01001,05358,0
01001,05362,0
01001,05366,0
01001,05370,0
01001,05374,0
01001,05378,0
01001,05382,14
01001,05512,0
01001,05513,0
01001,05515,0
01001,05554,0
01001,05558,0
01001,05562,0
01001,05566,14
01001,05570,0
01001,05711,0
01001,05754,0
01001,05758,0
01001,05762,0
01001,05766,0
01001,05770,0
01001,05774,0
01001,05911,0
01001,05913,10
01001,05914,0
01001,05915,0
01001,05916,0
01001,05954,0
01001,05958,0
01001,05962,0
01001,05966,0
01001,05970,0
01001,05974,0
01001,05978,0
01001,06411,0
01001,06412,0
01001,06413,0
01001,06414,0
01001,06431,0
01001,06432,0
01001,06433,0
01001,06434,0
01001,06435,0
01001,06436,0
01001,06437,0
01001,06438,0
01001,06439,0
01001,06440,0
01001,06531,0
01001,06532,0
01001,06533,0
01001,06534,0
01001,06535,0
01001,06611,0
01001,06631,0
01001,06632,0
01001,06633,0
01001,06634,0
01001,06635,0
01001,06636,0
01001,07111,0
01001,07131,0
01001,07132,0
01001,07133,0
01001,07134,0
01001,07135,0
01001,07137,0
01001,07138,0
01001,07140,0
01001,07141,0
01001,07143,0
01001,07211,0
01001,07231,0
01001,07232,0
01001,07233,0
01001,07235,0
01001,07311,0
01001,07312,0
01001,07313,0
01001,07314,0
01001,07315,0
01001,07316,0
01001,07317,0
01001,07318,0
01001,07319,0
01001,07320,0
01001,07331,0
01001,07332,0
01001,07333,0
01001,07334,0
01001,07335,0
01001,07336,0
01001,07337,0
01001,07338,0
01001,07339,0
01001,07340,0
01001,08111,0
01001,08115,0
01001,08116,10
01001,08117,0
01001,08118,0
01001,08119,0
01001,08121,0
01001,08125,0
01001,08126,0
01001,08127,0
01001,08128,0
01001,08135,0
01001,08136,0
01001,08211,0
01001,08212,0
01001,08215,0
01001,08216,0
01001,08221,0
01001,08222,0
01001,08225,0
01001,08226,0
01001,08231,0
01001,08235,0
01001,08236,0
01001,08237,0
01001,08311,0
01001,08315,0
01001,08316,0
01001,08317,0
01001,08325,0
01001,08326,0
01001,08327,0
01001,08335,0
01001,08336,0
01001,08337,0
01001,08415,0
01001,08416,0
01001,08417,0
01001,08421,0
01001,08425,0
01001,08426,0
01001,08435,0
01001,08436,0
01001,08437,0
01001,09161,0
01001,09162,28
01001,09163,0
01001,09171,0
01001,09172,0
01001,09173,0
01001,09174,0
01001,09175,0
01001,09176,0
01001,09177,0
01001,09178,0
01001,09179,0
01001,09180,0
01001,09181,0
01001,09182,0
01001,09183,0
01001,09184,10
01001,09185,0
01001,09186,0
01001,09187,0
01001,09188,0
01001,09189,0
01001,09190,0
01001,09261,0
01001,09262,0
01001,09263,0
01001,09271,0
01001,09272,0
01001,09273,0
01001,09274,0
01001,09275,0
01001,09276,0
01001,09277,0
01001,09278,0
01001,09279,0
01001,09361,0
01001,09362,0
01001,09363,0
01001,09371,0
01001,09372,0
01001,09373,0
01001,09374,0
01001,09375,0
01001,09376,0
01001,09377,0
01001,09461,0
01001,09462,0
01001,09463,0
01001,09464,0
01001,09471,0
01001,09472,0
01001,09473,0
01001,09474,0
01001,09475,0
01001,09476,0
01001,09477,28
01001,09478,0
01001,09479,0
01001,09561,0
01001,09562,0
01001,09563,0
01001,09564,0
01001,09565,0
01001,09571,0
01001,09572,0
01001,09573,0
01001,09574,0
01001,09575,0
01001,09576,0
01001,09577,0
01001,09661,0
01001,09662,0
01001,09663,18
01001,09671,0
01001,09672,0
01001,09673,0
01001,09674,0
01001,09675,0
01001,09676,0
01001,09677,0
01001,09678,0
01001,09679,0
01001,09761,0
01001,09762,22
01001,09763,0
01001,09764,0
01001,09771,19
01001,09772,0
01001,09773,0
01001,09774,0
01001,09775,0
01001,09776,0
01001,09777,19
01001,09778,0
01001,09779,0
01001,09780,0
01001,10041,0
01001,10042,0
01001,10043,0
01001,10044,0
01001,10045,0
01001,10046,0
01001,11000,153
01001,12051,0
01001,12052,0
01001,12053,0
01001,12054,0
01001,12060,0
01001,12061,0
01001,12062,0
01001,12063,0
01001,12064,0
01001,12065,0
01001,12066,0
01001,12067,0
01001,12068,0
01001,12069,0
01001,12070,0
01001,12071,0
01001,12072,0
01001,12073,0
01001,13003,18
01001,13004,10
01001,13071,20
01001,13072,27
01001,13073,27
01001,13074,28
01001,13075,28
01001,13076,11
01001,14511,0
01001,14521,23
01001,14522,0
01001,14523,25
01001,14524,21
01001,14612,11
01001,14625,0
01001,14626,0
01001,14627,0
01001,14628,0
01001,14713,11
01001,14729,0
01001,14730,0
01001,15001,0
01001,15002,0
01001,15003,0
01001,15081,0
01001,15082,30
01001,15083,0
01001,15084,0
01001,15085,0
01001,15086,0
01001,15087,0
01001,15088,0
01001,15089,0
01001,15090,0
01001,15091,0
01001,16051,0
01001,16052,0
01001,16053,0
01001,16054,0
01001,16055,0
01001,16061,0
01001,16062,0
01001,16063,0
01001,16064,0
01001,16065,0
01001,16066,0
01001,16067,0
01001,16068,0
01001,16069,0
01001,16070,0
01001,16071,0
01001,16072,0
01001,16073,0
01001,16074,0
01001,16075,0
01001,16076,0
01001,16077,0
01002,01001,696
01002,01002,0
01002,01003,1359
01002,01004,2196
01002,01051,825
01002,01053,496
01002,01054,687
01002,01055,1413
01002,01056,798
01002,01057,16829
01002,01058,24883
01002,01059,2036
01002,01060,2033
01002,01061,682
01002,01062,472
01002,02000,2095
01002,03101,60
01002,03102,34
01002,03103,0
01002,03151,14
01002,03153,10
01002,03154,10
01002,03155,19
01002,03157,28
01002,03158,25
01002,03159,34
01002,03241,253
01002,03251,29
01002,03252,13
01002,03254,28
01002,03255,0
01002,03256,17
01002,03257,0
01002,03351,31
01002,03352,62
01002,03353,174
01002,03354,34
01002,03355,111
01002,03356,22
01002,03357,46
01002,03358,22
01002,03359,84
01002,03360,17
01002,03361,26
01002,03401,0
01002,03402,25
01002,03403,39
01002,03404,78
01002,03405,37
01002,03451,14
01002,03452,27
01002,03453,21
01002,03454,147
01002,03455,18
01002,03456,13
01002,03457,30
01002,03458,20
01002,03459,75
01002,03460,16
01002,03461,28
01002,03462,0
01002,04011,201
01002,04012,34
01002,05111,93
01002,05112,23
01002,05113,44
01002,05114,20
01002,05116,13
01002,05117,0
01002,05119,14
01002,05120,10
01002,05122,11
01002,05124,21
01002,05154,13
01002,05158,29
01002,05162,37
01002,05166,0
01002,05170,25
01002,05314,27
01002,05315,229
01002,05316,11
01002,05334,26
01002,05358,13
01002,05362,44
01002,05366,0
01002,05370,0
01002,05374,14
01002,05378,26
01002,05382,35
01002,05512,0
01002,05513,0
01002,05515,54
01002,05554,14
01002,05558,0
01002,05562,46
01002,05566,27
01002,05570,26
01002,05711,72
01002,05754,75
01002,05758,22
01002,05762,21
01002,05766,50
01002,05770,22
01002,05774,124
01002,05911,24
01002,05913,75
01002,05914,10
01002,05915,13
01002,05916,14
01002,05954,18
01002,05958,11
01002,05962,15
01002,05966,0
01002,05970,0
01002,05974,38
01002,05978,36
01002,06411,0
01002,06412,53
01002,06413,0
01002,06414,10
01002,06431,11
01002,06432,11
01002,06433,14
01002,06434,17
01002,06435,13
01002,06436,17
01002,06437,0
01002,06438,19
01002,06439,11
01002,06440,16
01002,06531,18
01002,06532,0
01002,06533,0
01002,06534,15
01002,06535,0
01002,06611,36
01002,06631,0
01002,06632,0
01002,06633,11
01002,06634,11
01002,06635,0
01002,06636,11
01002,07111,0
01002,07131,0
01002,07132,0
01002,07133,0
01002,07134,0
01002,07135,0
01002,07137,0
01002,07138,11
01002,07140,0
01002,07141,0
01002,07143,0
01002,07211,0
01002,07231,0
01002,07232,0
01002,07233,0
01002,07235,0
01002,07311,0
01002,07312,0
01002,07313,0
01002,07314,17
01002,07315,11
01002,07316,0
01002,07317,0
01002,07318,0
01002,07319,0
01002,07320,0
01002,07331,0
01002,07332,0
01002,07333,0
01002,07334,0
01002,07335,0
01002,07336,0
01002,07337,0
01002,07338,11
01002,07339,0
01002,07340,0
01002,08111,90
01002,08115,40
01002,08116,35
01002,08117,0
01002,08118,74
01002,08119,12
01002,08121,17
01002,08125,45
01002,08126,0
01002,08127,0
01002,08128,0
01002,08135,0
01002,08136,0
01002,08211,0
01002,08212,11
01002,08215,29
01002,08216,10
01002,08221,11
01002,08222,24
01002,08225,0
01002,08226,38
01002,08231,0
01002,08235,0
01002,08236,0
01002,08237,0
01002,08311,11
01002,08315,0
01002,08316,0
01002,08317,0
01002,08325,0
01002,08326,0
01002,08327,0
01002,08335,0
01002,08336,0
01002,08337,0
01002,08415,0
01002,08416,21
01002,08417,0
01002,08421,11
01002,08425,0
01002,08426,0
01002,08435,0
01002,08436,0
01002,08437,0
01002,09161,0
01002,09162,72
01002,09163,0
01002,09171,0
01002,09172,0
01002,09173,0
01002,09174,0
01002,09175,0
01002,09176,0
01002,09177,0
01002,09178,0
01002,09179,0
01002,09180,0
01002,09181,0
01002,09182,0
01002,09183,0
01002,09184,11
01002,09185,0
01002,09186,0
01002,09187,0
01002,09188,0
01002,09189,0
01002,09190,0
01002,09261,0
01002,09262,0
01002,09263,0
01002,09271,0
01002,09272,0
01002,09273,0
