s,a,k,h,I
2021-04-05,00-04,0,65,4348
2021-04-05,05-14,0,73,9740
2021-04-05,15-34,0,331,31851
2021-04-05,35-59,0,839,41889
2021-04-05,60-79,0,1160,14813
2021-04-05,80+,0,778,3617
2021-04-05,00-04,1,13,4348
2021-04-05,05-14,1,10,9740
2021-04-05,15-34,1,129,31851
2021-04-05,35-59,1,574,41889
2021-04-05,60-79,1,670,14813
2021-04-05,80+,1,319,3617
2021-04-05,00-04,2,4,4348
2021-04-05,05-14,2,3,9740
2021-04-05,15-34,2,44,31851
2021-04-05,35-59,2,204,41889
2021-04-05,60-79,2,281,14813
2021-04-05,80+,2,116,3617
2021-04-05,00-04,3,1,4348
2021-04-05,05-14,3,0,9740
2021-04-05,15-34,3,16,31851
2021-04-05,35-59,3,78,41889
2021-04-05,60-79,3,117,14813
2021-04-05,80+,3,46,3617
2021-04-05,00-04,4,0,4348
2021-04-05,05-14,4,0,9740
2021-04-05,15-34,4,9,31851
2021-04-05,35-59,4,62,41889
2021-04-05,60-79,4,87,14813
2021-04-05,80+,4,29,3617
2021-04-05,00-04,5,0,4348
2021-04-05,05-14,5,2,9740
2021-04-05,15-34,5,7,31851
2021-04-05,35-59,5,27,41889
2021-04-05,60-79,5,55,14813
2021-04-05,80+,5,10,3617
2021-04-05,00-04,6,0,4348
2021-04-05,05-14,6,0,9740
2021-04-05,15-34,6,2,31851
2021-04-05,35-59,6,14,41889
2021-04-05,60-79,6,27,14813
2021-04-05,80+,6,3,3617
2021-04-05,00-04,7,1,4348
2021-04-05,05-14,7,1,9740
2021-04-05,15-34,7,7,31851
2021-04-05,35-59,7,27,41889
2021-04-05,60-79,7,24,14813
2021-04-05,80+,7,15,3617
2021-04-06,00-04,0,58,4145
2021-04-06,05-14,0,60,9330
2021-04-06,15-34,0,316,30781
2021-04-06,35-59,0,901,40174
2021-04-06,60-79,0,1213,14265
2021-04-06,80+,0,778,3436
2021-04-06,00-04,1,9,4145
2021-04-06,05-14,1,13,9330
2021-04-06,15-34,1,130,30781
2021-04-06,35-59,1,503,40174
2021-04-06,60-79,1,604,14265
2021-04-06,80+,1,275,3436
2021-04-06,00-04,2,3,4145
2021-04-06,05-14,2,1,9330
2021-04-06,15-34,2,40,30781
2021-04-06,35-59,2,173,40174
2021-04-06,60-79,2,248,14265
2021-04-06,80+,2,93,3436
2021-04-06,00-04,3,0,4145
2021-04-06,05-14,3,0,9330
2021-04-06,15-34,3,15,30781
2021-04-06,35-59,3,65,40174
2021-04-06,60-79,3,112,14265
2021-04-06,80+,3,55,3436
2021-04-06,00-04,4,1,4145
2021-04-06,05-14,4,0,9330
2021-04-06,15-34,4,10,30781
2021-04-06,35-59,4,59,40174
2021-04-06,60-79,4,84,14265
2021-04-06,80+,4,31,3436
2021-04-06,00-04,5,0,4145
2021-04-06,05-14,5,3,9330
2021-04-06,15-34,5,5,30781
2021-04-06,35-59,5,24,40174
2021-04-06,60-79,5,46,14265
2021-04-06,80+,5,8,3436
2021-04-06,00-04,6,1,4145
2021-04-06,05-14,6,1,9330
2021-04-06,15-34,6,2,30781
2021-04-06,35-59,6,17,40174
2021-04-06,60-79,6,19,14265
2021-04-06,80+,6,6,3436
2021-04-06,00-04,7,0,4145
2021-04-06,05-14,7,0,9330
2021-04-06,15-34,7,6,30781
2021-04-06,35-59,7,25,40174
2021-04-06,60-79,7,16,14265
2021-04-06,80+,7,8,3436
2021-04-07,00-04,0,56,3771
2021-04-07,05-14,0,51,8451
2021-04-07,15-34,0,338,27640
2021-04-07,35-59,0,916,35557
2021-04-07,60-79,0,1274,12778
2021-04-07,80+,0,828,3204
2021-04-07,00-04,1,7,3771
2021-04-07,05-14,1,10,8451
2021-04-07,15-34,1,117,27640
2021-04-07,35-59,1,448,35557
2021-04-07,60-79,1,540,12778
2021-04-07,80+,1,229,3204
2021-04-07,00-04,2,2,3771
2021-04-07,05-14,2,1,8451
2021-04-07,15-34,2,31,27640
2021-04-07,35-59,2,155,35557
2021-04-07,60-79,2,217,12778
2021-04-07,80+,2,93,3204
2021-04-07,00-04,3,0,3771
2021-04-07,05-14,3,1,8451
2021-04-07,15-34,3,17,27640
2021-04-07,35-59,3,62,35557
2021-04-07,60-79,3,122,12778
2021-04-07,80+,3,52,3204
2021-04-07,00-04,4,0,3771
2021-04-07,05-14,4,0,8451
2021-04-07,15-34,4,11,27640
2021-04-07,35-59,4,50,35557
2021-04-07,60-79,4,79,12778
2021-04-07,80+,4,32,3204
2021-04-07,00-04,5,0,3771
2021-04-07,05-14,5,1,8451
2021-04-07,15-34,5,6,27640
2021-04-07,35-59,5,25,35557
2021-04-07,60-79,5,40,12778
2021-04-07,80+,5,7,3204
2021-04-07,00-04,6,0,3771
2021-04-07,05-14,6,0,8451
2021-04-07,15-34,6,2,27640
2021-04-07,35-59,6,17,35557
2021-04-07,60-79,6,19,12778
2021-04-07,80+,6,6,3204
2021-04-07,00-04,7,0,3771
2021-04-07,05-14,7,0,8451
2021-04-07,15-34,7,4,27640
2021-04-07,35-59,7,23,35557
2021-04-07,60-79,7,15,12778
2021-04-07,80+,7,7,3204
2021-04-08,00-04,0,61,3487
2021-04-08,05-14,0,56,7705
2021-04-08,15-34,0,376,26587
2021-04-08,35-59,0,1025,34569
2021-04-08,60-79,0,1355,12410
2021-04-08,80+,0,851,3030
2021-04-08,00-04,1,12,3487
2021-04-08,05-14,1,6,7705
2021-04-08,15-34,1,103,26587
2021-04-08,35-59,1,426,34569
2021-04-08,60-79,1,531,12410
2021-04-08,80+,1,228,3030
2021-04-08,00-04,2,1,3487
2021-04-08,05-14,2,0,7705
2021-04-08,15-34,2,30,26587
2021-04-08,35-59,2,148,34569
2021-04-08,60-79,2,207,12410
2021-04-08,80+,2,81,3030
2021-04-08,00-04,3,0,3487
2021-04-08,05-14,3,0,7705
2021-04-08,15-34,3,15,26587
2021-04-08,35-59,3,81,34569
2021-04-08,60-79,3,131,12410
2021-04-08,80+,3,47,3030
2021-04-08,00-04,4,0,3487
2021-04-08,05-14,4,0,7705
2021-04-08,15-34,4,8,26587
2021-04-08,35-59,4,57,34569
2021-04-08,60-79,4,78,12410
2021-04-08,80+,4,26,3030
2021-04-08,00-04,5,0,3487
2021-04-08,05-14,5,1,7705
2021-04-08,15-34,5,4,26587
2021-04-08,35-59,5,18,34569
2021-04-08,60-79,5,33,12410
2021-04-08,80+,5,9,3030
2021-04-08,00-04,6,0,3487
2021-04-08,05-14,6,0,7705
2021-04-08,15-34,6,3,26587
2021-04-08,35-59,6,20,34569
2021-04-08,60-79,6,31,12410
2021-04-08,80+,6,7,3030
2021-04-08,00-04,7,2,3487
