IdBundesland,Bundesland,IdLandkreis,Landkreis
1,Schleswig-Holstein,01001,SK Flensburg
1,Schleswig-Holstein,01002,SK Kiel
1,Schleswig-Holstein,01003,SK Lübeck
1,Schleswig-Holstein,01004,SK Neumünster
1,Schleswig-Holstein,01051,LK Dithmarschen
1,Schleswig-Holstein,01053,LK Herzogtum Lauenburg
1,Schleswig-Holstein,01054,LK Nordfriesland
1,Schleswig-Holstein,01055,LK Ostholstein
1,Schleswig-Holstein,01056,LK Pinneberg
1,Schleswig-Holstein,01057,LK Plön
1,Schleswig-Holstein,01058,LK Rendsburg-Eckernförde
1,Schleswig-Holstein,01059,LK Schleswig-Flensburg
1,Schleswig-Holstein,01060,LK Segeberg
1,Schleswig-Holstein,01061,LK Steinburg
1,Schleswig-Holstein,01062,LK Stormarn
2,Hamburg,02000,SK Hamburg
3,Niedersachsen,03101,SK Braunschweig
3,Niedersachsen,03102,SK Salzgitter
3,Niedersachsen,03103,SK Wolfsburg
3,Niedersachsen,03151,LK Gifhorn
3,Niedersachsen,03153,LK Goslar
3,Niedersachsen,03154,LK Helmstedt
3,Niedersachsen,03157,LK Peine
3,Niedersachsen,03155,LK Northeim
3,Niedersachsen,03158,LK Wolfenbüttel
3,Niedersachsen,03159,LK Göttingen
3,Niedersachsen,03241,Region Hannover
3,Niedersachsen,03251,LK Diepholz
3,Niedersachsen,03252,LK Hameln-Pyrmont
3,Niedersachsen,03254,LK Hildesheim
3,Niedersachsen,03255,LK Holzminden
3,Niedersachsen,03256,LK Nienburg (Weser)
3,Niedersachsen,03257,LK Schaumburg
3,Niedersachsen,03351,LK Celle
3,Niedersachsen,03352,LK Cuxhaven
3,Niedersachsen,03353,LK Harburg
3,Niedersachsen,03354,LK Lüchow-Dannenberg
3,Niedersachsen,03355,LK Lüneburg
3,Niedersachsen,03356,LK Osterholz
3,Niedersachsen,03357,LK Rotenburg (Wümme)
3,Niedersachsen,03358,LK Heidekreis
3,Niedersachsen,03359,LK Stade
3,Niedersachsen,03360,LK Uelzen
3,Niedersachsen,03361,LK Verden
3,Niedersachsen,03401,SK Delmenhorst
3,Niedersachsen,03403,SK Oldenburg
3,Niedersachsen,03402,SK Emden
3,Niedersachsen,03404,SK Osnabrück
3,Niedersachsen,03405,SK Wilhelmshaven
3,Niedersachsen,03451,LK Ammerland
3,Niedersachsen,03452,LK Aurich
3,Niedersachsen,03453,LK Cloppenburg
3,Niedersachsen,03454,LK Emsland
3,Niedersachsen,03455,LK Friesland
3,Niedersachsen,03456,LK Grafschaft Bentheim
3,Niedersachsen,03457,LK Leer
